sense1,sense2,dist
существо,сундук,5
существо,еда_твёрдая,5
существо,еда_жидкая,5
существо,молоток,6
существо,отвёртка,6
существо,пила,6
существо,топор,6
существо,напильник,6
существо,лопата,6
существо,метла,6
существо,игла,6
существо,нитка,6
существо,инструмент_струны,6
существо,инструмент_воздух,6
существо,пианино,7
существо,рояль,7
существо,гитара,7
существо,скрипка,7
существо,арфа,7
существо,труба,7
существо,флейта,7
существо,волынка,7
существо,баян,7
существо,книга,6
существо,газета,6
существо,компьютер,6
существо,монитор,6
существо,клавиатура,6
существо,мышка,6
существо,автомобиль,5
существо,самолёт,5
существо,велосипед,5
существо,корабль,5
существо,ракета,5
существо,яблоко,6
существо,груша,6
существо,мясо,6
существо,хлеб,6
существо,соль,6
существо,сок,6
существо,чай,6
существо,кофе,6
существо,река,4
существо,море,4
существо,поле,4
существо,гора,4
существо,страна,4
существо,город,4
существо,улица,4
существо,дом,4
существо,вода,3
существо,воздух,3
существо,золото,3
существо,железо,3
существо,часть_живая,3
существо,часть_неживая,3
существо,часть_животного,4
существо,часть_растения,4
существо,нос,5
существо,ухо,5
существо,рука,5
существо,нога,5
существо,лист,5
существо,стебель,5
существо,тычинка,5
существо,корень,5
существо,стена,4
существо,окно,4
существо,пол,4
существо,дверь,4
существо,лестница,4
место,объект,1
место,вещь,2
место,существо,2
место,место,0
место,вещество,2
место,часть,2
место,вещь_рукотворная,3
место,вещь_природная,3
место,животное,3
место,растение,3
место,место_рукотворное,1
место,место_природное,1
место,зверь,4
место,птица,4
место,рыба,4
место,насекомое,4
место,дерево,4
место,трава,4
место,собака,5
место,кошка,5
место,медведь,5
место,воробей,5
место,ворона,5
место,чайка,5
место,ласточка,5
место,щука,5
место,карась,5
место,акула,5
место,паук,5
место,муравей,5
место,муха,5
место,комар,5
место,ель,5
место,тополь,5
место,липа,5
место,яблоня,5
место,вишня,5
место,полынь,5
место,роза,5
место,подснежник,5
место,инструмент,4
место,аппарат,4
место,контейнер,4
место,еда,4
место,камень,4
место,планета,4
место,звезда,4
место,инструмент_работа,5
место,инструмент_музыка,5
место,инструмент_инфо,5
место,бутылка,5
место,мешок,5
место,ящик,5
место,сундук,5
место,еда_твёрдая,5
место,еда_жидкая,5
место,молоток,6
место,отвёртка,6
место,пила,6
место,топор,6
место,напильник,6
место,лопата,6
место,метла,6
место,игла,6
место,нитка,6
место,инструмент_струны,6
место,инструмент_воздух,6
место,пианино,7
место,рояль,7
место,гитара,7
место,скрипка,7
место,арфа,7
место,труба,7
место,флейта,7
место,волынка,7
место,баян,7
место,книга,6
место,газета,6
место,компьютер,6
место,монитор,6
место,клавиатура,6
место,мышка,6
место,автомобиль,5
место,самолёт,5
место,велосипед,5
место,корабль,5
место,ракета,5
место,яблоко,6
место,груша,6
место,мясо,6
место,хлеб,6
место,соль,6
место,сок,6
место,чай,6
место,кофе,6
место,река,2
место,море,2
место,поле,2
место,гора,2
место,страна,2
место,город,2
место,улица,2
место,дом,2
место,вода,3
место,воздух,3
место,золото,3
место,железо,3
место,часть_живая,3
место,часть_неживая,3
место,часть_животного,4
место,часть_растения,4
место,нос,5
место,ухо,5
место,рука,5
место,нога,5
место,лист,5
место,стебель,5
место,тычинка,5
место,корень,5
место,стена,4
место,окно,4
место,пол,4
место,дверь,4
место,лестница,4
вещество,объект,1
вещество,вещь,2
вещество,существо,2
вещество,место,2
вещество,вещество,0
вещество,часть,2
вещество,вещь_рукотворная,3
вещество,вещь_природная,3
вещество,животное,3
вещество,растение,3
вещество,место_рукотворное,3
вещество,место_природное,3
вещество,зверь,4
вещество,птица,4
вещество,рыба,4
вещество,насекомое,4
вещество,дерево,4
вещество,трава,4
вещество,собака,5
вещество,кошка,5
вещество,медведь,5
вещество,воробей,5
вещество,ворона,5
вещество,чайка,5
вещество,ласточка,5
вещество,щука,5
вещество,карась,5
вещество,акула,5
вещество,паук,5
вещество,муравей,5
вещество,муха,5
вещество,комар,5
вещество,ель,5
вещество,тополь,5
вещество,липа,5
вещество,яблоня,5
вещество,вишня,5
вещество,полынь,5
вещество,роза,5
вещество,подснежник,5
вещество,инструмент,4
вещество,аппарат,4
вещество,контейнер,4
вещество,еда,4
вещество,камень,4
вещество,планета,4
вещество,звезда,4
вещество,инструмент_работа,5
вещество,инструмент_музыка,5
вещество,инструмент_инфо,5
вещество,бутылка,5
вещество,мешок,5
вещество,ящик,5
вещество,сундук,5
вещество,еда_твёрдая,5
вещество,еда_жидкая,5
вещество,молоток,6
вещество,отвёртка,6
вещество,пила,6
вещество,топор,6
вещество,напильник,6
вещество,лопата,6
вещество,метла,6
вещество,игла,6
вещество,нитка,6
вещество,инструмент_струны,6
вещество,инструмент_воздух,6
вещество,пианино,7
вещество,рояль,7
вещество,гитара,7
вещество,скрипка,7
вещество,арфа,7
вещество,труба,7
вещество,флейта,7
вещество,волынка,7
вещество,баян,7
вещество,книга,6
вещество,газета,6
вещество,компьютер,6
вещество,монитор,6
вещество,клавиатура,6
вещество,мышка,6
вещество,автомобиль,5
вещество,самолёт,5
вещество,велосипед,5
вещество,корабль,5
вещество,ракета,5
вещество,яблоко,6
вещество,груша,6
вещество,мясо,6
вещество,хлеб,6
вещество,соль,6
вещество,сок,6
вещество,чай,6
вещество,кофе,6
вещество,река,4
вещество,море,4
вещество,поле,4
вещество,гора,4
вещество,страна,4
вещество,город,4
вещество,улица,4
вещество,дом,4
вещество,вода,1
вещество,воздух,1
вещество,золото,1
вещество,железо,1
вещество,часть_живая,3
вещество,часть_неживая,3
вещество,часть_животного,4
вещество,часть_растения,4
вещество,нос,5
вещество,ухо,5
вещество,рука,5
вещество,нога,5
вещество,лист,5
вещество,стебель,5
вещество,тычинка,5
вещество,корень,5
вещество,стена,4
вещество,окно,4
вещество,пол,4
вещество,дверь,4
вещество,лестница,4
часть,объект,1
часть,вещь,2
часть,существо,2
часть,место,2
часть,вещество,2
часть,часть,0
часть,вещь_рукотворная,3
часть,вещь_природная,3
часть,животное,3
часть,растение,3
часть,место_рукотворное,3
часть,место_природное,3
часть,зверь,4
часть,птица,4
часть,рыба,4
часть,насекомое,4
часть,дерево,4
часть,трава,4
часть,собака,5
часть,кошка,5
часть,медведь,5
часть,воробей,5
часть,ворона,5
часть,чайка,5
часть,ласточка,5
часть,щука,5
часть,карась,5
часть,акула,5
часть,паук,5
часть,муравей,5
часть,муха,5
часть,комар,5
часть,ель,5
часть,тополь,5
часть,липа,5
часть,яблоня,5
часть,вишня,5
часть,полынь,5
часть,роза,5
часть,подснежник,5
часть,инструмент,4
часть,аппарат,4
часть,контейнер,4
часть,еда,4
часть,камень,4
часть,планета,4
часть,звезда,4
часть,инструмент_работа,5
часть,инструмент_музыка,5
часть,инструмент_инфо,5
часть,бутылка,5
часть,мешок,5
часть,ящик,5
часть,сундук,5
часть,еда_твёрдая,5
часть,еда_жидкая,5
часть,молоток,6
часть,отвёртка,6
часть,пила,6
часть,топор,6
часть,напильник,6
часть,лопата,6
часть,метла,6
часть,игла,6
часть,нитка,6
часть,инструмент_струны,6
часть,инструмент_воздух,6
часть,пианино,7
часть,рояль,7
часть,гитара,7
часть,скрипка,7
часть,арфа,7
часть,труба,7
часть,флейта,7
часть,волынка,7
часть,баян,7
часть,книга,6
часть,газета,6
часть,компьютер,6
часть,монитор,6
часть,клавиатура,6
часть,мышка,6
часть,автомобиль,5
часть,самолёт,5
часть,велосипед,5
часть,корабль,5
часть,ракета,5
часть,яблоко,6
часть,груша,6
часть,мясо,6
часть,хлеб,6
часть,соль,6
часть,сок,6
часть,чай,6
часть,кофе,6
часть,река,4
часть,море,4
часть,поле,4
часть,гора,4
часть,страна,4
часть,город,4
часть,улица,4
часть,дом,4
часть,вода,3
часть,воздух,3
часть,золото,3
часть,железо,3
часть,часть_живая,1
часть,часть_неживая,1
часть,часть_животного,2
часть,часть_растения,2
часть,нос,3
часть,ухо,3
часть,рука,3
часть,нога,3
часть,лист,3
часть,стебель,3
часть,тычинка,3
часть,корень,3
часть,стена,2
часть,окно,2
часть,пол,2
часть,дверь,2
часть,лестница,2
вещь_рукотворная,объект,2
вещь_рукотворная,вещь,1
вещь_рукотворная,существо,3
вещь_рукотворная,место,3
вещь_рукотворная,вещество,3
вещь_рукотворная,часть,3
вещь_рукотворная,вещь_рукотворная,0
вещь_рукотворная,вещь_природная,2
вещь_рукотворная,животное,4
вещь_рукотворная,растение,4
вещь_рукотворная,место_рукотворное,4
вещь_рукотворная,место_природное,4
вещь_рукотворная,зверь,5
вещь_рукотворная,птица,5
вещь_рукотворная,рыба,5
вещь_рукотворная,насекомое,5
вещь_рукотворная,дерево,5
вещь_рукотворная,трава,5
вещь_рукотворная,собака,6
вещь_рукотворная,кошка,6
вещь_рукотворная,медведь,6
вещь_рукотворная,воробей,6
вещь_рукотворная,ворона,6
вещь_рукотворная,чайка,6
вещь_рукотворная,ласточка,6
вещь_рукотворная,щука,6
вещь_рукотворная,карась,6
вещь_рукотворная,акула,6
вещь_рукотворная,паук,6
вещь_рукотворная,муравей,6
вещь_рукотворная,муха,6
вещь_рукотворная,комар,6
вещь_рукотворная,ель,6
вещь_рукотворная,тополь,6
вещь_рукотворная,липа,6
вещь_рукотворная,яблоня,6
вещь_рукотворная,вишня,6
вещь_рукотворная,полынь,6
вещь_рукотворная,роза,6
вещь_рукотворная,подснежник,6
вещь_рукотворная,инструмент,1
вещь_рукотворная,аппарат,1
вещь_рукотворная,контейнер,1
вещь_рукотворная,еда,1
вещь_рукотворная,камень,3
вещь_рукотворная,планета,3
вещь_рукотворная,звезда,3
вещь_рукотворная,инструмент_работа,2
вещь_рукотворная,инструмент_музыка,2
вещь_рукотворная,инструмент_инфо,2
вещь_рукотворная,бутылка,2
вещь_рукотворная,мешок,2
вещь_рукотворная,ящик,2
вещь_рукотворная,сундук,2
вещь_рукотворная,еда_твёрдая,2
вещь_рукотворная,еда_жидкая,2
вещь_рукотворная,молоток,3
вещь_рукотворная,отвёртка,3
вещь_рукотворная,пила,3
вещь_рукотворная,топор,3
вещь_рукотворная,напильник,3
вещь_рукотворная,лопата,3
вещь_рукотворная,метла,3
вещь_рукотворная,игла,3
вещь_рукотворная,нитка,3
вещь_рукотворная,инструмент_струны,3
вещь_рукотворная,инструмент_воздух,3
вещь_рукотворная,пианино,4
вещь_рукотворная,рояль,4
вещь_рукотворная,гитара,4
вещь_рукотворная,скрипка,4
вещь_рукотворная,арфа,4
вещь_рукотворная,труба,4
вещь_рукотворная,флейта,4
вещь_рукотворная,волынка,4
вещь_рукотворная,баян,4
вещь_рукотворная,книга,3
вещь_рукотворная,газета,3
вещь_рукотворная,компьютер,3
вещь_рукотворная,монитор,3
вещь_рукотворная,клавиатура,3
вещь_рукотворная,мышка,3
вещь_рукотворная,автомобиль,2
вещь_рукотворная,самолёт,2
вещь_рукотворная,велосипед,2
вещь_рукотворная,корабль,2
вещь_рукотворная,ракета,2
вещь_рукотворная,яблоко,3
вещь_рукотворная,груша,3
вещь_рукотворная,мясо,3
вещь_рукотворная,хлеб,3
вещь_рукотворная,соль,3
вещь_рукотворная,сок,3
вещь_рукотворная,чай,3
вещь_рукотворная,кофе,3
вещь_рукотворная,река,5
вещь_рукотворная,море,5
вещь_рукотворная,поле,5
вещь_рукотворная,гора,5
вещь_рукотворная,страна,5
вещь_рукотворная,город,5
вещь_рукотворная,улица,5
вещь_рукотворная,дом,5
вещь_рукотворная,вода,4
вещь_рукотворная,воздух,4
вещь_рукотворная,золото,4
вещь_рукотворная,железо,4
вещь_рукотворная,часть_живая,4
вещь_рукотворная,часть_неживая,4
вещь_рукотворная,часть_животного,5
вещь_рукотворная,часть_растения,5
вещь_рукотворная,нос,6
вещь_рукотворная,ухо,6
вещь_рукотворная,рука,6
вещь_рукотворная,нога,6
вещь_рукотворная,лист,6
вещь_рукотворная,стебель,6
вещь_рукотворная,тычинка,6
вещь_рукотворная,корень,6
вещь_рукотворная,стена,5
вещь_рукотворная,окно,5
вещь_рукотворная,пол,5
вещь_рукотворная,дверь,5
вещь_рукотворная,лестница,5
вещь_природная,объект,2
вещь_природная,вещь,1
вещь_природная,существо,3
вещь_природная,место,3
вещь_природная,вещество,3
вещь_природная,часть,3
вещь_природная,вещь_рукотворная,2
вещь_природная,вещь_природная,0
вещь_природная,животное,4
вещь_природная,растение,4
вещь_природная,место_рукотворное,4
вещь_природная,место_природное,4
вещь_природная,зверь,5
вещь_природная,птица,5
вещь_природная,рыба,5
вещь_природная,насекомое,5
вещь_природная,дерево,5
вещь_природная,трава,5
вещь_природная,собака,6
вещь_природная,кошка,6
вещь_природная,медведь,6
вещь_природная,воробей,6
вещь_природная,ворона,6
вещь_природная,чайка,6
вещь_природная,ласточка,6
вещь_природная,щука,6
вещь_природная,карась,6
вещь_природная,акула,6
вещь_природная,паук,6
вещь_природная,муравей,6
вещь_природная,муха,6
вещь_природная,комар,6
вещь_природная,ель,6
вещь_природная,тополь,6
вещь_природная,липа,6
вещь_природная,яблоня,6
вещь_природная,вишня,6
вещь_природная,полынь,6
вещь_природная,роза,6
вещь_природная,подснежник,6
вещь_природная,инструмент,3
вещь_природная,аппарат,3
вещь_природная,контейнер,3
вещь_природная,еда,3
вещь_природная,камень,1
вещь_природная,планета,1
вещь_природная,звезда,1
вещь_природная,инструмент_работа,4
вещь_природная,инструмент_музыка,4
вещь_природная,инструмент_инфо,4
вещь_природная,бутылка,4
вещь_природная,мешок,4
вещь_природная,ящик,4
вещь_природная,сундук,4
вещь_природная,еда_твёрдая,4
вещь_природная,еда_жидкая,4
вещь_природная,молоток,5
вещь_природная,отвёртка,5
вещь_природная,пила,5
вещь_природная,топор,5
вещь_природная,напильник,5
вещь_природная,лопата,5
вещь_природная,метла,5
вещь_природная,игла,5
вещь_природная,нитка,5
вещь_природная,инструмент_струны,5
вещь_природная,инструмент_воздух,5
вещь_природная,пианино,6
вещь_природная,рояль,6
вещь_природная,гитара,6
вещь_природная,скрипка,6
вещь_природная,арфа,6
вещь_природная,труба,6
вещь_природная,флейта,6
вещь_природная,волынка,6
вещь_природная,баян,6
вещь_природная,книга,5
вещь_природная,газета,5
вещь_природная,компьютер,5
вещь_природная,монитор,5
вещь_природная,клавиатура,5
вещь_природная,мышка,5
вещь_природная,автомобиль,4
вещь_природная,самолёт,4
вещь_природная,велосипед,4
вещь_природная,корабль,4
вещь_природная,ракета,4
вещь_природная,яблоко,5
вещь_природная,груша,5
вещь_природная,мясо,5
вещь_природная,хлеб,5
вещь_природная,соль,5
вещь_природная,сок,5
вещь_природная,чай,5
вещь_природная,кофе,5
вещь_природная,река,5
вещь_природная,море,5
вещь_природная,поле,5
вещь_природная,гора,5
вещь_природная,страна,5
вещь_природная,город,5
вещь_природная,улица,5
вещь_природная,дом,5
вещь_природная,вода,4
вещь_природная,воздух,4
вещь_природная,золото,4
вещь_природная,железо,4
вещь_природная,часть_живая,4
вещь_природная,часть_неживая,4
вещь_природная,часть_животного,5
вещь_природная,часть_растения,5
вещь_природная,нос,6
вещь_природная,ухо,6
вещь_природная,рука,6
вещь_природная,нога,6
вещь_природная,лист,6
вещь_природная,стебель,6
вещь_природная,тычинка,6
вещь_природная,корень,6
вещь_природная,стена,5
вещь_природная,окно,5
вещь_природная,пол,5
вещь_природная,дверь,5
вещь_природная,лестница,5
животное,объект,2
животное,вещь,3
животное,существо,1
животное,место,3
животное,вещество,3
животное,часть,3
животное,вещь_рукотворная,4
животное,вещь_природная,4
животное,животное,0
животное,растение,2
животное,место_рукотворное,4
животное,место_природное,4
животное,зверь,1
животное,птица,1
животное,рыба,1
животное,насекомое,1
животное,дерево,3
животное,трава,3
животное,собака,2
животное,кошка,2
животное,медведь,2
животное,воробей,2
животное,ворона,2
животное,чайка,2
животное,ласточка,2
животное,щука,2
животное,карась,2
животное,акула,2
животное,паук,2
животное,муравей,2
животное,муха,2
животное,комар,2
животное,ель,4
животное,тополь,4
животное,липа,4
животное,яблоня,4
животное,вишня,4
животное,полынь,4
животное,роза,4
животное,подснежник,4
животное,инструмент,5
животное,аппарат,5
животное,контейнер,5
животное,еда,5
животное,камень,5
животное,планета,5
животное,звезда,5
животное,инструмент_работа,6
животное,инструмент_музыка,6
животное,инструмент_инфо,6
животное,бутылка,6
животное,мешок,6
животное,ящик,6
животное,сундук,6
животное,еда_твёрдая,6
животное,еда_жидкая,6
животное,молоток,7
животное,отвёртка,7
животное,пила,7
животное,топор,7
животное,напильник,7
животное,лопата,7
животное,метла,7
животное,игла,7
животное,нитка,7
животное,инструмент_струны,7
животное,инструмент_воздух,7
животное,пианино,8
животное,рояль,8
животное,гитара,8
животное,скрипка,8
животное,арфа,8
животное,труба,8
животное,флейта,8
животное,волынка,8
животное,баян,8
животное,книга,7
животное,газета,7
животное,компьютер,7
животное,монитор,7
животное,клавиатура,7
животное,мышка,7
животное,автомобиль,6
животное,самолёт,6
животное,велосипед,6
животное,корабль,6
животное,ракета,6
животное,яблоко,7
животное,груша,7
животное,мясо,7
животное,хлеб,7
животное,соль,7
животное,сок,7
животное,чай,7
животное,кофе,7
животное,река,5
животное,море,5
животное,поле,5
животное,гора,5
животное,страна,5
животное,город,5
животное,улица,5
животное,дом,5
животное,вода,4
животное,воздух,4
животное,золото,4
животное,железо,4
животное,часть_живая,4
животное,часть_неживая,4
животное,часть_животного,5
животное,часть_растения,5
животное,нос,6
животное,ухо,6
животное,рука,6
животное,нога,6
животное,лист,6
животное,стебель,6
животное,тычинка,6
животное,корень,6
животное,стена,5
животное,окно,5
животное,пол,5
животное,дверь,5
животное,лестница,5
растение,объект,2
растение,вещь,3
растение,существо,1
растение,место,3
растение,вещество,3
растение,часть,3
растение,вещь_рукотворная,4
растение,вещь_природная,4
растение,животное,2
растение,растение,0
растение,место_рукотворное,4
растение,место_природное,4
растение,зверь,3
растение,птица,3
растение,рыба,3
растение,насекомое,3
растение,дерево,1
растение,трава,1
растение,собака,4
растение,кошка,4
растение,медведь,4
растение,воробей,4
растение,ворона,4
растение,чайка,4
растение,ласточка,4
растение,щука,4
растение,карась,4
растение,акула,4
растение,паук,4
растение,муравей,4
растение,муха,4
растение,комар,4
растение,ель,2
растение,тополь,2
растение,липа,2
растение,яблоня,2
растение,вишня,2
растение,полынь,2
растение,роза,2
растение,подснежник,2
растение,инструмент,5
растение,аппарат,5
растение,контейнер,5
растение,еда,5
растение,камень,5
растение,планета,5
растение,звезда,5
растение,инструмент_работа,6
растение,инструмент_музыка,6
растение,инструмент_инфо,6
растение,бутылка,6
растение,мешок,6
растение,ящик,6
растение,сундук,6
растение,еда_твёрдая,6
растение,еда_жидкая,6
растение,молоток,7
растение,отвёртка,7
растение,пила,7
растение,топор,7
растение,напильник,7
растение,лопата,7
растение,метла,7
растение,игла,7
растение,нитка,7
растение,инструмент_струны,7
растение,инструмент_воздух,7
растение,пианино,8
растение,рояль,8
растение,гитара,8
растение,скрипка,8
растение,арфа,8
растение,труба,8
растение,флейта,8
растение,волынка,8
растение,баян,8
растение,книга,7
растение,газета,7
растение,компьютер,7
растение,монитор,7
растение,клавиатура,7
растение,мышка,7
растение,автомобиль,6
растение,самолёт,6
растение,велосипед,6
растение,корабль,6
растение,ракета,6
растение,яблоко,7
растение,груша,7
растение,мясо,7
растение,хлеб,7
растение,соль,7
растение,сок,7
растение,чай,7
растение,кофе,7
растение,река,5
растение,море,5
растение,поле,5
растение,гора,5
растение,страна,5
растение,город,5
растение,улица,5
растение,дом,5
растение,вода,4
растение,воздух,4
растение,золото,4
растение,железо,4
растение,часть_живая,4
растение,часть_неживая,4
растение,часть_животного,5
растение,часть_растения,5
растение,нос,6
растение,ухо,6
растение,рука,6
растение,нога,6
растение,лист,6
растение,стебель,6
растение,тычинка,6
растение,корень,6
растение,стена,5
растение,окно,5
растение,пол,5
растение,дверь,5
растение,лестница,5
место_рукотворное,объект,2
место_рукотворное,вещь,3
место_рукотворное,существо,3
место_рукотворное,место,1
место_рукотворное,вещество,3
место_рукотворное,часть,3
место_рукотворное,вещь_рукотворная,4
место_рукотворное,вещь_природная,4
место_рукотворное,животное,4
место_рукотворное,растение,4
место_рукотворное,место_рукотворное,0
место_рукотворное,место_природное,2
место_рукотворное,зверь,5
место_рукотворное,птица,5
место_рукотворное,рыба,5
место_рукотворное,насекомое,5
место_рукотворное,дерево,5
место_рукотворное,трава,5
место_рукотворное,собака,6
место_рукотворное,кошка,6
место_рукотворное,медведь,6
место_рукотворное,воробей,6
место_рукотворное,ворона,6
место_рукотворное,чайка,6
место_рукотворное,ласточка,6
место_рукотворное,щука,6
место_рукотворное,карась,6
место_рукотворное,акула,6
место_рукотворное,паук,6
место_рукотворное,муравей,6
место_рукотворное,муха,6
место_рукотворное,комар,6
место_рукотворное,ель,6
место_рукотворное,тополь,6
место_рукотворное,липа,6
место_рукотворное,яблоня,6
место_рукотворное,вишня,6
место_рукотворное,полынь,6
место_рукотворное,роза,6
место_рукотворное,подснежник,6
место_рукотворное,инструмент,5
место_рукотворное,аппарат,5
место_рукотворное,контейнер,5
место_рукотворное,еда,5
место_рукотворное,камень,5
место_рукотворное,планета,5
место_рукотворное,звезда,5
место_рукотворное,инструмент_работа,6
место_рукотворное,инструмент_музыка,6
место_рукотворное,инструмент_инфо,6
место_рукотворное,бутылка,6
место_рукотворное,мешок,6
место_рукотворное,ящик,6
место_рукотворное,сундук,6
место_рукотворное,еда_твёрдая,6
место_рукотворное,еда_жидкая,6
место_рукотворное,молоток,7
место_рукотворное,отвёртка,7
место_рукотворное,пила,7
место_рукотворное,топор,7
место_рукотворное,напильник,7
место_рукотворное,лопата,7
место_рукотворное,метла,7
место_рукотворное,игла,7
место_рукотворное,нитка,7
место_рукотворное,инструмент_струны,7
